background,objective,reference
"Large river valleys have long been seen as important factors to shape the mobility, communication, and exchange of Pleistocene hunter-gatherers. However, rivers have been debated as either natural entities people adapt and react to or as cultural and meaningful entities people experience and interpret in different ways. Both ecological and cultural factors are crucial to explaining these patterns. Whereas the Earlier Upper Paleolithic record displays a general tendency toward conceiving rivers as mobility guidelines, the spatial consolidation process after the colonization of the European mainland is paralleled by a trend of conceptualizing river regimes as frontiers, separating archaeological entities, regional groups, or local networks. The Late Upper Paleolithic Magdalenian, however, is characterized again by a role of rivers as mobility and communication vectors. Here, we attempt to integrate both perspectives. Tracing changing patterns in the role of certain river regimes through time thus contributes to our growing How can anyone be rational in a world where knowledge is limited, time is pressing, and deep thought is often an unattainable luxury? Traditional models of unbounded rationality and optimization in cognitive science, economics, and animal behavior have tended to view decision-makers as possessing supernatural powers of reason, limitless knowledge, and endless time. But understanding decisions in the real world requires a more psychologically plausible notion of bounded rationality. In Simple heuristics that make us smart (Gigerenzer et al. These simple heuristics perform comparably to more complex algorithms, particularly when generalizing to new data--that is, simplicity leads to robustness. Viewed in this light, heuristics can even be seen as integral components of the human Badaptive toolbox^ (#CITATION_TAG; Boudry et al. 2015; Polonioli 2015).","1999), we explore fast and frugal heuristics--simple rules in the mind's adaptive toolbox for making decisions with realistic mental resources. In this precis, we show how simple building blocks that control information search, stop search, and make decisions can be put together to form classes of heuristics, including: ignorance-based and one-reason decision making for choice, elimination models for categorization, and satisficing heuristics for sequential search.",['These heuristics can enable both living organisms and artificial systems to make smart choices quickly and with a minimum of information by exploiting the way that information is structured in particular environments.']
"Large river valleys have long been seen as important factors to shape the mobility, communication, and exchange of Pleistocene hunter-gatherers. However, rivers have been debated as either natural entities people adapt and react to or as cultural and meaningful entities people experience and interpret in different ways. Both ecological and cultural factors are crucial to explaining these patterns. Whereas the Earlier Upper Paleolithic record displays a general tendency toward conceiving rivers as mobility guidelines, the spatial consolidation process after the colonization of the European mainland is paralleled by a trend of conceptualizing river regimes as frontiers, separating archaeological entities, regional groups, or local networks. The Late Upper Paleolithic Magdalenian, however, is characterized again by a role of rivers as mobility and communication vectors. Here, we attempt to integrate both perspectives. Tracing changing patterns in the role of certain river regimes through time thus contributes to our growing A majority of laymen, politicians and scholars consciously or subconsciously understand settled living as the highest rung on the evolutionary ladder. Accounts of people surviving and even thriving in peripheral areas are often instrumental to construct and maintain the dichotomy between 'the desert and the sown.' It is sometimes stated that mobile peoples obtain their material culture from neighboring settled populations, rather than produce their own, and that they do not leave recognizable archaeological traces apart from 'ephemeral campsites.' From the 24 chapters in this volume, however, it is clear that there is indeed an 'archaeology of mobility. Such an archaeology of mobility encompasses much more than tracing ephemeral campsites. Much like any other group, mobile people produce, appear to use and discard a distinct material culture which includes functional objects, art and architecture. There have been edited books on the archaeology of nomadism in various regions, and there have been individual archaeological and anthropological monographs, but nothing with the kind of coverage provided in this volume. It presents many new ideas and thoughtful approaches, especially in the Central Asian region Archaeologists, consequently, have ever since attempted to tackle the Bspatiality^of past human social units from a whole range of different angles (e.g., Shott 1986; Kelly 1992; Close 2000; Brantingham 2006; #CITATION_TAG; Grove 2009 Grove, 2010 Turq et al. 2013; Cameron 2013; Van Dommelen 2014).","'By applying specific and well-defined methods, it is eminently possible to come to a better understanding of mobile people in archaeological contexts.",['Its strength and importance lie in the fact that it brings together a world-wide collection of studies of the archaeology of mobility.This book provides a ready-made reference to this world-wide phenomenon and is unique in that it tries to redefine pastoralism within a larger context by the term mobility.']
"Large river valleys have long been seen as important factors to shape the mobility, communication, and exchange of Pleistocene hunter-gatherers. However, rivers have been debated as either natural entities people adapt and react to or as cultural and meaningful entities people experience and interpret in different ways. Both ecological and cultural factors are crucial to explaining these patterns. Whereas the Earlier Upper Paleolithic record displays a general tendency toward conceiving rivers as mobility guidelines, the spatial consolidation process after the colonization of the European mainland is paralleled by a trend of conceptualizing river regimes as frontiers, separating archaeological entities, regional groups, or local networks. The Late Upper Paleolithic Magdalenian, however, is characterized again by a role of rivers as mobility and communication vectors. Here, we attempt to integrate both perspectives. Tracing changing patterns in the role of certain river regimes through time thus contributes to our growing Imperfections in encoding either relations can introduce imperfections in representations of environments in memory. This, together with individual differences in human spatial abilities, can result in data manipulations that produce error. When information stored in long term memory is brought into working memory for purposes of decision making and choice behavior (as in route selection), the result may be the selection of an inefficient or incorrect path. Blind, vision impaired, and sighted volunteers traveled and learned routes of approximately the same length (1.2miles) in their respective urban environments. To begin with, if we accept the two-phase dispersal model of Aurignacian technologies, with a pioneer and a consolidated phase reflected in different sociocultural signatures (Davies 2001 (Davies, 2007, the conditions of landscape knowledge and learning deserve special attention (e.g., #CITATION_TAG; Kelly 2003).","An initial trial was experimenter guided; three following trials were regarded as ""test"" trials where the participants learned the route and performed route fixing tasks including pointing between designated places, verbally describing the route after each completion, and building a model of the route using metallic strips on a magnetic board.","['In this paper we discuss the relations between cognitive maps, spatial abilities and human wayfinding, particularly in the context of traveling without the use of sight.', 'Initially we discuss the nature of cognitive maps and the process of cognitive mapping as mechanisms for developing person to object (egocentric) and object to object (allocentric) internal representations.', 'We explore the connection between environmental learning and cognitive maps in the context of learning a route in two different cultural environments-Belfast (Northern Ireland) and Santa Barbara (California).']"
"Biological theories of sexual orientation, typically presented in human sexuality classes, are considered by many social psychologists to cause reductions in students' sexual prejudice. Yet when biological theories were not presented to 36 psychology students in a 10-week seminar on lesbian, gay, bisexual and transgender (LGBT) psychology, both sexual prejudice and two forms of essentialist thinking reduced significantly. Enrolled students reported increased exposure to issues of homosexuality since entering college, and many had sexual minority friends. #CITATION_TAG assessed students' prejudice and their interest in 26 topics at the beginning and end of a course titled 'The Psychology of Homosexuality'.",We investigated who enrolled in a class about sexual diversity and what they most wanted to learn. Students left the class with significantly decreased homophobia.,"[""In this study, we examined the impact of a course, the Psychology of Homosexuality, on heterosexual students' attitudes toward and knowledge about sexual minorities (i.e., lesbians, gay men, bisexual men and women, and transgendered persons).""]"
"Biological theories of sexual orientation, typically presented in human sexuality classes, are considered by many social psychologists to cause reductions in students' sexual prejudice. Yet when biological theories were not presented to 36 psychology students in a 10-week seminar on lesbian, gay, bisexual and transgender (LGBT) psychology, both sexual prejudice and two forms of essentialist thinking reduced significantly. Psychological essentialism is an ordinary mode of category representation that has powerful social-psychological consequences. Why and when people engage in this mode of thinking remain open questions. Variability in essentialism across cultures, categories, and contexts suggests that this mode of representing human categories is rooted in a naturalistic theory of category origins, combined with a need to explain differences that cross category boundaries. Although belief in the biological determination of sexual orientation is correlated with tolerance towards lesbians and gay men, beliefs in biological determination are also correlated with prejudice and stereotyping of other minority groups (c.f., Bastian & Haslam, 2006; Keller, 2005; Martin & Parker, 1995; Morton, Postmes, Haslam, & Hornsey, 2009; #CITATION_TAG; Williams & Eberhardt, 2008; Yzerbyt, Rocher, & Schadron, 1997).",,"['This article reviews those consequences, with a focus on the distinctive ways people perceive, evaluate, and interact with members of human categories they essentialize.']"
"Background: Meniscus surgery is a high-volume surgery carried out on 1 million patients annually in the USA. A critical oversight of previous studies is their failure to account for the type of meniscal tears. Meniscus tears can be categorised as traumatic or nontraumatic. Traumatic tears (TT) are usually observed in younger, more active individuals in an otherwise 'healthy' meniscus and joint. Non-traumatic tears (NTT) (ie, degenerative tears) are typically observed in the middleaged (35-55 years) and older population but the aetiology is largely unclear. Knowledge about the potential difference of the effect of arthroscopic meniscus surgery on patient symptoms between patients with traumatic and NTT is sparse. Furthermore, little is known about the natural time course of patient perceived pain, function and quality of life after meniscus surgery and factors affecting these outcomes. The aim of this prospective cohort study is to investigate the natural time course of patient-reported outcomes in patients undergoing meniscus surgery, with particular emphasis on the role of type of symptom onset. 2] [23] Evidence from four well-designed trials demonstrated that arthroscopic interventions 10 24 and meniscectomy [25] [26] [#CITATION_TAG] were no better or provided no additional effect, than the comparator (ie, sham surgery, physical therapy or a combination of physical and medical therapy) to relieve pain and improve function in the middle-aged patients with knee OA or early signs of knee OA.",Radiographic examination was done before randomization and after 5 years. The patients were randomly assigned to either arthroscopic treatment followed by exercise therapy for 2 months or to the same exercise therapy alone.,"['The aim of this prospective randomized intervention study was to evaluate the outcome at a 2 and 5 year follow-up whether combined arthroscopic surgery followed by exercise therapy was superior to the same exercise therapy alone when treating non-traumatic, degenerative medial meniscal tears.Ninety-six middle-aged patients with MRI-verified degenerative medial meniscus tear and radiographic osteoarthritis grade <=1 (Ahlback) participated in the study.']"
"Background: Meniscus surgery is a high-volume surgery carried out on 1 million patients annually in the USA. A critical oversight of previous studies is their failure to account for the type of meniscal tears. Meniscus tears can be categorised as traumatic or nontraumatic. Traumatic tears (TT) are usually observed in younger, more active individuals in an otherwise 'healthy' meniscus and joint. Non-traumatic tears (NTT) (ie, degenerative tears) are typically observed in the middleaged (35-55 years) and older population but the aetiology is largely unclear. Knowledge about the potential difference of the effect of arthroscopic meniscus surgery on patient symptoms between patients with traumatic and NTT is sparse. Furthermore, little is known about the natural time course of patient perceived pain, function and quality of life after meniscus surgery and factors affecting these outcomes. The aim of this prospective cohort study is to investigate the natural time course of patient-reported outcomes in patients undergoing meniscus surgery, with particular emphasis on the role of type of symptom onset. 2] [23] Evidence from four well-designed trials demonstrated that arthroscopic interventions 10 24 and meniscectomy [#CITATION_TAG] [26] [27] were no better or provided no additional effect, than the comparator (ie, sham surgery, physical therapy or a combination of physical and medical therapy) to relieve pain and improve function in the middle-aged patients with knee OA or early signs of knee OA.",,['The aim was to evaluate knee function and physical activity.']
"Background: Meniscus surgery is a high-volume surgery carried out on 1 million patients annually in the USA. A critical oversight of previous studies is their failure to account for the type of meniscal tears. Meniscus tears can be categorised as traumatic or nontraumatic. Traumatic tears (TT) are usually observed in younger, more active individuals in an otherwise 'healthy' meniscus and joint. Non-traumatic tears (NTT) (ie, degenerative tears) are typically observed in the middleaged (35-55 years) and older population but the aetiology is largely unclear. Knowledge about the potential difference of the effect of arthroscopic meniscus surgery on patient symptoms between patients with traumatic and NTT is sparse. Furthermore, little is known about the natural time course of patient perceived pain, function and quality of life after meniscus surgery and factors affecting these outcomes. The aim of this prospective cohort study is to investigate the natural time course of patient-reported outcomes in patients undergoing meniscus surgery, with particular emphasis on the role of type of symptom onset. #CITATION_TAG[4][5] More importantly, however, recent studies have shown substantial patient-reported disability and pain in patients up to 4 years after surgery","Knee extensor and flexor strength was evaluated at four different velocities (60, 120, 180, and 240 degrees/sec) preoperatively and every 2 weeks from weeks 2-12 postsurgery. Eight subjects were evaluated on a Cybex II+ and 14 subjects were evaluated on a Cybex II isokinetic device. A repeated measures analysis of variance was used to determine possible side (involved and uninvolved), speed (60, 120, 180, and 240 degrees/sec), or time (preoperative, 2, 4, 6, 8, 10, and 12 weeks postoperatively) effects as well as possible interactions between these factors.",['The purpose of this study was to investigate the time course of spontaneous recovery (no supervised training) of muscle torques in the first 3 months postarthroscopic partial meniscectomy.']
"Background: Meniscus surgery is a high-volume surgery carried out on 1 million patients annually in the USA. A critical oversight of previous studies is their failure to account for the type of meniscal tears. Meniscus tears can be categorised as traumatic or nontraumatic. Traumatic tears (TT) are usually observed in younger, more active individuals in an otherwise 'healthy' meniscus and joint. Non-traumatic tears (NTT) (ie, degenerative tears) are typically observed in the middleaged (35-55 years) and older population but the aetiology is largely unclear. Knowledge about the potential difference of the effect of arthroscopic meniscus surgery on patient symptoms between patients with traumatic and NTT is sparse. Furthermore, little is known about the natural time course of patient perceived pain, function and quality of life after meniscus surgery and factors affecting these outcomes. The aim of this prospective cohort study is to investigate the natural time course of patient-reported outcomes in patients undergoing meniscus surgery, with particular emphasis on the role of type of symptom onset. Total work and average power developed by the quadriceps and hamstrings during the fatigue protocol changed with time in a similar manner to torque. [3][4]#CITATION_TAG More importantly, however, recent studies have shown substantial patient-reported disability and pain in patients up to 4 years after surgery","Training was done on the same device (three times a week for 1-2 months), beginning either 2 or 6 weeks post-op.",['SummaryThe aim of this study was to assess the effects in humans of early (2 weeks) and delayed (6 weeks) isokinetic strength training in the recovery of muscle strength following an arthroscopic partial meniscectomy.']
"Background: Meniscus surgery is a high-volume surgery carried out on 1 million patients annually in the USA. A critical oversight of previous studies is their failure to account for the type of meniscal tears. Meniscus tears can be categorised as traumatic or nontraumatic. Traumatic tears (TT) are usually observed in younger, more active individuals in an otherwise 'healthy' meniscus and joint. Non-traumatic tears (NTT) (ie, degenerative tears) are typically observed in the middleaged (35-55 years) and older population but the aetiology is largely unclear. Knowledge about the potential difference of the effect of arthroscopic meniscus surgery on patient symptoms between patients with traumatic and NTT is sparse. Furthermore, little is known about the natural time course of patient perceived pain, function and quality of life after meniscus surgery and factors affecting these outcomes. The aim of this prospective cohort study is to investigate the natural time course of patient-reported outcomes in patients undergoing meniscus surgery, with particular emphasis on the role of type of symptom onset. Meniscectomy patients have an increased risk of developing knee OA. 2 7] [#CITATION_TAG] One explanation for the poor selfreported outcomes may be that the loss of meniscal function triggers other events that may cause knee pain.","Reduced muscle strength is suggested as a risk factor for knee osteoarthritis (OA). The Knee Injury and Osteoarthritis Outcome Score (KOOS) was used to determine self-reported outcomes.No differences were detected in any muscle strength variables between the operated and nonoperated leg (mean +- SD quadriceps maximum voluntary contraction of 2.80 +- 0.10 for the operated leg and 2.88 +- 0.10 for the nonoperated leg), between patients and controls (mean +- SD torque of 2.70 +- 0.09 Nm x kg(-1) for the controls; P = 0.26 for main effect leg), or in objectively measured function (P >= 0.27).","['The aim of this study was to identify reductions in different aspects of muscle strength as well as objectively measured and self-reported lower extremity function in middle-aged patients who had undergone a meniscectomy compared with controls.Thirty-one patients who had undergone surgery in 2006 and 2007 (mean +- SD age 46 +- 6 years, mean +- SD body mass index [BMI] 26 +- 4 kg/m(2), and mean +- SD postsurgery 21 +- 6 months) and 31 population-based controls (mean +- SD age 46 +- 6 years and mean +- SD BMI 26 +- 4 kg/m(2)) were examined for maximal muscle strength and rapid force capacity, distance achieved during the one-leg hop test, and the maximum number of knee bends performed in 30 seconds.']"
"Background: Meniscus surgery is a high-volume surgery carried out on 1 million patients annually in the USA. A critical oversight of previous studies is their failure to account for the type of meniscal tears. Meniscus tears can be categorised as traumatic or nontraumatic. Traumatic tears (TT) are usually observed in younger, more active individuals in an otherwise 'healthy' meniscus and joint. Non-traumatic tears (NTT) (ie, degenerative tears) are typically observed in the middleaged (35-55 years) and older population but the aetiology is largely unclear. Knowledge about the potential difference of the effect of arthroscopic meniscus surgery on patient symptoms between patients with traumatic and NTT is sparse. Furthermore, little is known about the natural time course of patient perceived pain, function and quality of life after meniscus surgery and factors affecting these outcomes. The aim of this prospective cohort study is to investigate the natural time course of patient-reported outcomes in patients undergoing meniscus surgery, with particular emphasis on the role of type of symptom onset. 10 11 critical limitation of previous studies [#CITATION_TAG] [13] [14] [15] is their failure to account for the type of symptom onset (ie, injury mechanism).",MATERIALS AND METHODS: 435 patients of both sexes and different age groups underwent meniscectomy after their isolated meniscal injuries were clinically diagnosed and confirmed by nuclear magnetic resonance imaging.,['PURPOSE: To evaluate the results of the treatment of patients with isolated meniscal injuries of different etiologies.']
"The evolutionary history of Mexican ichthyofauna has been strongly linked to natural events, and the impact of pre-Hispanic cultures is little known. The live-bearing fish species Allotoca diazi, Allotoca meeki and Allotoca catarinae occur in areas of biological, cultural and economic importance in central Mexico: Patzcuaro basin, Zirahuen basin, and the Cupatitzio River, respectively. The species are closely related genetically and morphologically, and hypotheses have attempted to explain their systematics and biogeography. The separation of A. diazi and A. meeki was dated to 400-7000 years ago, explained by geological and climate events. The isolation of A. catarinae occurred~1900 years ago. No geological events are documented in the area during this period, but the date is contemporary with P'urhepecha culture settlements. These genetic markers have applications in the study and management of both species. In order to elucidate and analyze the two biogeographic hypotheses about the connections or disconnections between the Zirahuén, Pátzcuaro and Cupatitzio basins, and the possibility of a species translocation, we examined the evolutionary history of Allotoca diazi complex using two different molecular markers described for the Goodeinae Subfamily [9, #CITATION_TAG, 26]: a conserved molecular marker of mitochondrial DNA (Cytochrome b, Cytb gene) and a less conserved microsatellite nuclear markers.",We also present a preliminary survey of the variability of nine of these microsatellites in both Z. tequila and the congeneric wild species Z. quitzeoensis.,"['This report describes the characterization of 13 microsatellites in Zoogoneticus tequila, a goodeid fish that is extinct in nature and exists only in captivity.']"
"The evolutionary history of Mexican ichthyofauna has been strongly linked to natural events, and the impact of pre-Hispanic cultures is little known. The live-bearing fish species Allotoca diazi, Allotoca meeki and Allotoca catarinae occur in areas of biological, cultural and economic importance in central Mexico: Patzcuaro basin, Zirahuen basin, and the Cupatitzio River, respectively. The species are closely related genetically and morphologically, and hypotheses have attempted to explain their systematics and biogeography. The separation of A. diazi and A. meeki was dated to 400-7000 years ago, explained by geological and climate events. The isolation of A. catarinae occurred~1900 years ago. No geological events are documented in the area during this period, but the date is contemporary with P'urhepecha culture settlements. There has long been speculation as to the relationship between climate, humans and the environment. Until recently, however, it has proved difficult to establish the degree to which these factors are interlinked. Fluctuations in the level of Lake Pátzcuaro during the Holocene associated with climate change, human activity [90, 91, [94] [95] [#CITATION_TAG] [97] [98] [99], and occurrence of tsunamis [100] could be involved to the isolation and demographics changes of A. diazi and A. meeki.",,['Here we draw on evidence that has recently emerged from a series of investigations in central Mexico to evaluate the long-term human impact on the environment and to establish the impact that late Holocene changes in the climate have had on the indigenous populations that lived on the arid frontier of Mesoamerica.']
"The evolutionary history of Mexican ichthyofauna has been strongly linked to natural events, and the impact of pre-Hispanic cultures is little known. The live-bearing fish species Allotoca diazi, Allotoca meeki and Allotoca catarinae occur in areas of biological, cultural and economic importance in central Mexico: Patzcuaro basin, Zirahuen basin, and the Cupatitzio River, respectively. The species are closely related genetically and morphologically, and hypotheses have attempted to explain their systematics and biogeography. The separation of A. diazi and A. meeki was dated to 400-7000 years ago, explained by geological and climate events. The isolation of A. catarinae occurred~1900 years ago. No geological events are documented in the area during this period, but the date is contemporary with P'urhepecha culture settlements. There is a growing number of studies that use historical sources to reconstruct recent environmental change. In Mexico there are abundant sources of information that can be used to determine variations in the climate over the historical period. The Aztecs are believed to have entered the Basin of Mexico during a period of severe drought. Wet conditions, however, characterized much of the Aztec (AD 1345-1521) and early colonial period prior to a return to drier conditions in the 1640s. Between 1640 and 1915, a series of severe droughts caused widespread devastation throughout central Mexico, particularly during the mid- to late 1700s and late 1800s. Since the early 1900s this region has experienced slightly wetter conditions. Although the palaeoclimatic records from central Mexico are similar, there is greater divergence between the records from central and northern Mexico. In general, fluctuations in the climate over the last 600 years can be explained by changes in the relative strength of the summer 'monsoon', but it is possible that ENSO events can cause considerable differences in prevailing climate conditions in the northern and central parts of the country. Fluctuations in the level of Lake Pátzcuaro during the Holocene associated with climate change, human activity [90, 91, [94] [95] [96] [#CITATION_TAG] [98] [99], and occurrence of tsunamis [100] could be involved to the isolation and demographics changes of A. diazi and A. meeki.",The climatic record from the Basin of Mexico is compared with proxy climatic data from two other areas in Mexico: a detailed lake-level curve from Lake Patzcuaro in central Mexico and the few tree-ring records from northern Mexico.,['In this paper we draw together information from a variety of primary and secondary historical sources to reconstruct fluctuations in the climate of central Mexico over the last 600 years.']
"The evolutionary history of Mexican ichthyofauna has been strongly linked to natural events, and the impact of pre-Hispanic cultures is little known. The live-bearing fish species Allotoca diazi, Allotoca meeki and Allotoca catarinae occur in areas of biological, cultural and economic importance in central Mexico: Patzcuaro basin, Zirahuen basin, and the Cupatitzio River, respectively. The species are closely related genetically and morphologically, and hypotheses have attempted to explain their systematics and biogeography. The separation of A. diazi and A. meeki was dated to 400-7000 years ago, explained by geological and climate events. The isolation of A. catarinae occurred~1900 years ago. No geological events are documented in the area during this period, but the date is contemporary with P'urhepecha culture settlements. Land degradation is frequently cited as a factor in the collapse of ancient complex societies. Implicit in these tales of ecological suicide is the assumption that land degradation is an ecological rather than a social problem. Tecto-volcanic events giving rise to the separation of Pátzcuaro and Zirahuén lakes began 8000 years ago with the formation and activity of the La Tasa volcano southwest of Lake Pátzcuaro and climate fluctuations causing decline in water level and drying of streams [21, [#CITATION_TAG] [91] [92] [93].","I then discuss the implications of this perspective using evidence from a recent landscape project exploring diachronic relationships between environmental and social transformations in the development of the Precolumbian Tarascan (Purepecha) empire, centered in the Lake Patzcuaro Basin, Mexico.","['Here, I discuss how land degradation can be reconceptualized as a social-environmental dialectic.']"
"The evolutionary history of Mexican ichthyofauna has been strongly linked to natural events, and the impact of pre-Hispanic cultures is little known. The live-bearing fish species Allotoca diazi, Allotoca meeki and Allotoca catarinae occur in areas of biological, cultural and economic importance in central Mexico: Patzcuaro basin, Zirahuen basin, and the Cupatitzio River, respectively. The species are closely related genetically and morphologically, and hypotheses have attempted to explain their systematics and biogeography. The separation of A. diazi and A. meeki was dated to 400-7000 years ago, explained by geological and climate events. The isolation of A. catarinae occurred~1900 years ago. No geological events are documented in the area during this period, but the date is contemporary with P'urhepecha culture settlements. Last year marked the 10th anniversary of the birth of phylogeography as a formal discipline. However, the field's gestation began in the mid-1970s with the introduction of mitochondrial (mt) DNA analyses to population genetics, and to the profound shift toward genealogical thought at the intraspecific level (now formalized as coalescent theory) that these methods prompted. The genetic distances among the three species in Cytb are smaller than reported to sister Goodeinae species (1.7-11%) [9] and sister species, congeneric species, and cofamilial genera within and across the major vertebrate taxonomic classes (~2%) [76] [77] [#CITATION_TAG] [79].",,"['This paper traces the early history and explosive growth of phylogeography, and closes with predictions about future challenges for the field that centre on several facets of genealogical concordance.']"
"The evolutionary history of Mexican ichthyofauna has been strongly linked to natural events, and the impact of pre-Hispanic cultures is little known. The live-bearing fish species Allotoca diazi, Allotoca meeki and Allotoca catarinae occur in areas of biological, cultural and economic importance in central Mexico: Patzcuaro basin, Zirahuen basin, and the Cupatitzio River, respectively. The species are closely related genetically and morphologically, and hypotheses have attempted to explain their systematics and biogeography. The separation of A. diazi and A. meeki was dated to 400-7000 years ago, explained by geological and climate events. The isolation of A. catarinae occurred~1900 years ago. No geological events are documented in the area during this period, but the date is contemporary with P'urhepecha culture settlements. # Abstract Molecular clocks have profoundly influenced modern views on the timing of important events in evolutionary history. On the population genetic scale, we review advances in the incorporation of ancestral population processes into the estimation of divergence times between recently separated species. The isolation of A. diazi, A. meeki, and A. catarinae is reflected in the low genetic differences, non-monophyletic patterns, shared haplotypes, and genetic groups assignment, and we considered that the species complex consist in an incomplete lineage sorting pattern [72] [#CITATION_TAG] [74] [75].","On the phylogenetic scale, we address the complexities of DNA sequence evolution as they relate to estimating divergences, focusing on models of nucleotide substitution and problems associated with among-site and among-lineage rate variation. Throughout the review we emphasize new statistical methods and the importance of model testing during the process of divergence time estimation.","['We review recent advances in estimating divergence times from molecular data, emphasizing the continuum between processes at the phylogenetic and population genetic scales.']"
"The evolutionary history of Mexican ichthyofauna has been strongly linked to natural events, and the impact of pre-Hispanic cultures is little known. The live-bearing fish species Allotoca diazi, Allotoca meeki and Allotoca catarinae occur in areas of biological, cultural and economic importance in central Mexico: Patzcuaro basin, Zirahuen basin, and the Cupatitzio River, respectively. The species are closely related genetically and morphologically, and hypotheses have attempted to explain their systematics and biogeography. The separation of A. diazi and A. meeki was dated to 400-7000 years ago, explained by geological and climate events. The isolation of A. catarinae occurred~1900 years ago. No geological events are documented in the area during this period, but the date is contemporary with P'urhepecha culture settlements. In this paleoenvironment, the presence of the terrestrial mammals was favored by the availability of relatively abundant mesophytic vegetation, which was seemingly perturbed by the volcanic exhalations associated to the monogenetic volcanism of the Michoacan-Guanajuato volcanic field. The isolation of the Allotoca diazi complex from its common ancestor A. zacapuensis, does not contradict the hypothesis of Álvarez (1972) [21] with respect to the connection between the Zacapu and Pátzcuaro basins during the Pleistocene, resulted from the formation of the El Zirate mountain and the northern Pátzcuaro Lake shoreline during the Late Pleistocene [#CITATION_TAG].","This column contains vegetation remnants and bone fragments, including a well preserved jaw of a gomphothere, which was recovered from a volcanic lahar deposit intercalated with fluvial deposits and a pyroclastic succession associated to the basaltic monogenetic volcanism of the Cerro Catio. The complete volcanic sequence was emplaced within a fluvial endorreic basin restricted to the northern portion of the Patzcuaro lake. This late Pleistocene age can be assigned to the gomphothere as well as to the basaltic volcanic event of the Cerro Catio. Moist climatic conditions favored the devitrification process of the volcanic ash and the weathering of other minerals, which provided good conditions for recovering of the mesophillic vegetation: Fraxinus, Acer, Corylus, Ulmus, Betula, and Juglans.","['The stratigraphic, petrographic and pollinic description of the fluvial volcanic-sedimentary column of the Barranca Rancho Viejo, Tzintzuntzan and north of the Patzcuaro lake is presented.']"
"The evolutionary history of Mexican ichthyofauna has been strongly linked to natural events, and the impact of pre-Hispanic cultures is little known. The live-bearing fish species Allotoca diazi, Allotoca meeki and Allotoca catarinae occur in areas of biological, cultural and economic importance in central Mexico: Patzcuaro basin, Zirahuen basin, and the Cupatitzio River, respectively. The species are closely related genetically and morphologically, and hypotheses have attempted to explain their systematics and biogeography. The separation of A. diazi and A. meeki was dated to 400-7000 years ago, explained by geological and climate events. The isolation of A. catarinae occurred~1900 years ago. No geological events are documented in the area during this period, but the date is contemporary with P'urhepecha culture settlements. Recent studies have focused on the relationship between the marine fauna of the Eastern Atlantic and the Mediterranean Sea, but within the Atlantic, little is known about genetic relationships between populations of the Macaronesian islands. The genetic, biological, and ecological information obtained in this investigation, along with relevant published information [64, #CITATION_TAG], was used for identification of conservation units.",We combined phylogeographic and coalescent approaches using the fast evolving mitochondrial control region gene. Migration across the three archipelagos was estimated and a prevailing northwest trend was detected.,['We propose that this difference reflects differences in glaciating extents in the Northeastern Atlantic and the Mediterranean.']
"Solar radiation and ambient temperature have acted as selective physical forces among populations and thereby guided species distributions in the globe. Circadian clocks are universal and evolve when subjected to selection, and their properties contribute to variations in fitness within specific environments. Because of their position in the hierarchy and repressive actions, cryptochromes are the key components of the feedback loops on which circadian clocks are built. It has been shown that warming patients prior to and during (18)F-FDG uptake by controlling the room temperature can decrease uptake by brown adipose tissue (BAT). This effect is greatest in the summer and winter. Brown adipose tissue may in fact be an active pacemaker tissue, having activity in a range of ultradian (Ootsuka et al., 2009) to infradian (#CITATION_TAG) oscillations.",Patients over 22 years of age and those who received pre-medication known to reduce FDG uptake by BAT were excluded. One hundred and three patients were warmed to 24 degrees C prior to scanning.,['The aim of this study is to determine if this effect is subject to seasonal variation.A retrospective review was conducted of all patients referred for whole-body (18)F-FDG PET between December 2006 and December 2008.']
"Solar radiation and ambient temperature have acted as selective physical forces among populations and thereby guided species distributions in the globe. Circadian clocks are universal and evolve when subjected to selection, and their properties contribute to variations in fitness within specific environments. Because of their position in the hierarchy and repressive actions, cryptochromes are the key components of the feedback loops on which circadian clocks are built. CONTEXT Positron emission tomography (PET)-computed tomography (CT) has identified metabolically active supraclavicular fat in adult humans based on uptake of labeled glucose and confirmed to be brown adipose tissue (BAT) histologically. However, PET-CT has estimated a prevalence of BAT as low as 5% in adult humans, casting doubt on its significance. PET-positive fat harbored multilobulated lipid droplets and stained strongly for uncoupling protein 1 (UCP1). BAT is highly prevalent in adult humans, and its abundance determines PET status. It is currently evident that brown adipose tissue is a highly active tissue, rather than only ""a form of embryonic adipose tissue"" (Sheldon, 1924) or the so-called hibernating gland, and it is highly prevalent in adult humans (#CITATION_TAG).","SETTING The study was conducted at a tertiary referral hospital. PATIENTS Seventeen patients who underwent preoperative PET-CT for staging of head and neck malignancy participated in the study. By contrast, PET-negative fat contained a predominance of cells with unilobulated lipid droplets, with scattered cells containing multilobulated lipid droplets and variable UCP1 staining.",['OBJECTIVE The objective of the study was to determine whether BAT is present in PET-negative supraclavicular fat.']
